	x	y	theta	v	a	sigma	omega	t
0	11.2437810945274	6.14427860696518	-1.70786250110508	0.0001	1.0	0.18192680566407432	0.015502580268306422	0.08523778834984634
1	11.24377718686103	6.144271125619755	-1.7078619411163112	0.08533779899907434	0.9720618371196253	0.18324821131986083	0.027328651007629844	0.17047557669969268
2	11.240442810459907	6.137887345987505	-1.707380559492721	0.16819420013442177	0.8930591137182529	0.18557764509033603	0.03571187557813757	0.255713365049539
3	11.233882797374196	6.125302249472461	-1.706419460809494	0.24431658385342275	0.8204348536084254	0.1886216463824411	0.04107899196382616	0.34095115339938536
4	11.224387975918786	6.107012169338336	-1.7049999497525752	0.3142486362601192	0.753641302793056	0.19212312880507826	0.04382811907609527	0.4261889417492317
5	11.212240256448688	6.083469531155505	-1.703139413888615	0.3784873541192815	0.6921835384451772	0.19585894074265756	0.04432826801751972	0.511426730099078
6	11.1977115840064	6.0550871797530705	-1.700853883526345	0.43748754806850565	0.6356141757294773	0.19963738426984923	0.04291934998529855	0.5966645184489243
7	11.18106317988227	6.022242252378473	-1.6981597858670974	0.49166589465148425	0.5835285001835194	0.20329573474000795	0.03991255901255603	0.6819023067987706
8	11.16254492551606	5.98527966916462	-1.6950750735857274	0.5414045734462185	0.5355600194462953	0.20669779299761973	0.03559102989876042	0.7671400951486169
9	11.142394818132237	5.944515289272464	-1.691619873490223	0.5870545250324104	0.49137642069357307	0.209731493671282	0.03021069590491336	0.8523778834984632
10	11.120838473652146	5.900238766293071	-1.6878167729002258	0.6289383643795841	0.4506759164431635	0.2123065865747252	0.024001292812460787	0.9376156718483095
11	11.098088678335435	5.852716127426178	-1.6836908386315617	0.66735298275973	0.4131839586420336	0.21435240369159503	0.017167473590028983	1.0228534601981558
12	11.074345003090176	5.802192095860445	-1.6792694449531347	0.7025718695760024	0.37865029889954177	0.2158157211719621	0.009890010501498906	1.1080912485480021
13	11.049793498282247	5.748892173333263	-1.6745819717439923	0.7348471836121993	0.3468463712494251	0.21665872379386528	0.0023270693177713467	1.1933290368978484
14	11.024606485555344	5.693024499043396	-1.6696594216275966	0.7644116011946622	0.31756297282755547	0.21685707803584758	-0.005384455794520635	1.2785668252476947
15	10.998942458991577	5.634781501188042	-1.6645339945455309	0.7914799666602782	0.29060821730200115	0.2163981189324539	-0.013127557071234749	1.363804613597541
16	10.972946102497001	5.57434135786819	-1.6592386496286846	0.8162507683793855	0.2658057357666629	0.2152791550012643	-0.02080368871059785	1.4490424019473873
17	10.946748424644111	5.511869284591843	-1.6538066770120037	0.8389074614268333	0.24299310009469113	0.21350589458605318	-0.028331315814371715	1.5342801902972336
18	10.920467007008705	5.447518665878496	-1.648271296185891	0.8596196558631717	0.2220204444213271	0.2110909958849941	-0.03564445097595813	1.61951797864708
19	10.894206357683458	5.381432048410026	-1.6426652924137002	0.87854418751409	0.20274926145318065	0.20805274171685806	-0.04269119402341815	1.7047557669969262
20	10.868058358313304	5.313742012742663	-1.6370206985450453	0.8958260861499187	0.18505135163316214	0.20441383875628696	-0.049432290974221416	1.7899935553467725
21	10.842102790715355	5.2445719398082655	-1.631368526121471	0.9115994540942743	0.16880790476619928	0.20020033960057762	-0.055839728005076125	1.8752313436966188
22	10.816407927859627	5.174036687344646	-1.625738546922959	0.9259882665525121	0.15390869546139568	0.1954406846833674	-0.06189537521275734	1.9604691320464651
23	10.79103117357825	5.102243190078387	-1.6201591239670023	0.9391071033614473	0.14025137560009035	0.19016485979114764	-0.06758969326072863	2.0457069203963116
24	10.766019735689756	5.029290996021411	-1.6146570893757168	0.9510618204306187	0.1277408489276954	0.18440366382235832	-0.07292051384276158	2.130944708746158
25	10.741411318110078	4.955272749714274	-1.609257665400546	0.9619501678751436	0.11628871472860995	0.17818808049706675	-0.07789190243727023	2.2161824970960047
26	10.717234818814585	4.880274631725461	-1.603984424169093	0.9718623607286532	0.10581276932629916	0.17154874700295175	-0.08251310925572365	2.301420285445851
27	10.69351102207141	4.8043767622550515	-1.5988592813265832	0.9808816071651962	0.09623655581474534	0.16451551206012463	-0.08679761176240831	2.3866580737956977
28	10.67025327505986	4.727653575336685	-1.5939025186206006	0.9890845983412487	0.08748895394480366	0.15711707559944846	-0.09076224978535283	2.4718958621455442
29	10.647468140716164	4.650174168913447	-1.5891328305618726	0.9965419632805426	0.07950380344269362	0.1493807021620889	-0.09442645213809825	2.5571336504953908
30	10.625156020331865	4.5720026349975535	-1.584567390531779	1.003318691651396	0.0722195552210294	0.1413320002201151	-0.09781155188364603	2.6423714388452373
31	10.603311741009144	4.493198373216367	-1.5802219320515467	1.0094745268140441	0.06557894595672498	0.1329947598624873	-0.10094018591970853	2.727609227195084
32	10.581925104513344	4.413816390295248	-1.576110841338625	1.0150643311297072	0.059528692362394046	0.12439084165906955	-0.10383577344824328	2.8128470155449303
33	10.560981395332602	4.333907587421881	-1.5722472577197222	1.0201384252100343	0.05401920218054742	0.1155401099787462	-0.10652206709372777	2.898084803894777
34	10.540461846848679	4.253519036963287	-1.5686431789214663	1.0247429025323256	0.04900429949781927	0.10646040456922358	-0.10902276992274999	2.9833225922446234
35	10.520344065442222	4.17269424965029	-1.565309568699052	1.0289199206411515	0.04444096242587868	0.097167544781235	-0.11136121135387926	3.06856038059447
36	10.500602413108373	4.091473433087528	-1.562256464676446	1.0327079699904707	0.04028907154315324	0.0876753614174714	-0.11356007488990211	3.1537981689443164
37	10.481208349758036	4.009893742274139	-1.5594930846493162	1.0361421213434765	0.03651116775302796	0.07799575178901416	-0.11564117071292476	3.239035957294163
38	10.462130736843072	3.9279895227150115	-1.5570279299381868	1.0392542525328137	0.033072218404728536	0.06813875415525845	-0.11762524641755225	3.3242737456440095
39	10.443336104288397	3.845792546651269	-1.5548688846717609	1.0420732552854548	0.029939390656173	0.058112638296521725	-0.11953182948334726	3.409511533993856
40	10.424788882958838	3.763332242928796	-1.5530233101284117	1.0446252227295283	0.027081831145630775	0.047924009513951434	-0.12137909547491425	3.4947493223437025
41	10.40645160505232	3.680635921044763	-1.5514981334687408	1.0469336181208453	0.024470451091416726	0.03757792386376617	-0.1231837563813635	3.579987110693549
42	10.388285074910304	3.5977289899553413	-1.5502999303559832	1.0490194252518001	0.02207771596491785	0.027078012909193823	-0.12496096394700291	3.6652248990433955
43	10.370248512787663	3.5146351722859577	-1.549435001086777	1.0509012809324656	0.019877438889486062	0.016426616712287834	-0.1267242232873569	3.750462687393242
44	10.352299674141676	3.431376714652687	-1.5489094399454757	1.0525955898614645	0.017844576912449155	0.00562492418892295	-0.12848531251923148	3.8357004757430886
45	10.334394946996593	3.3479745948751227	-1.548729197553929	1.0541166221315204	0.015955029285058365	-0.0053268796856535666	-0.1302542045550654	3.920938264092935
46	10.316489429927925	3.264448726933599	-1.5489001360184596	1.0554765935408361	0.014185436870237138	-0.016429460005194133	-0.1320389876186889	4.006176052442782
47	10.298536993199635	3.180818164593937	-1.5494280766793482	1.0566857288064317	0.012512981784649511	-0.027684171285762144	-0.13384578143389572	4.091413840792628
48	10.280490325586928	3.0971013046885094	-1.5503188402479242	1.0577523076994175	0.01091518637370862	-0.039092889675142475	-0.1356786464242515	4.176651629142474
49	10.262300969435984	3.0133160911010264	-1.5515782790743664	1.0586826940453395	0.009369710619452012	-0.05065783742264449	-0.13753948365076193	4.26188941749232
50	10.243919346557277	2.9294802205518553	-1.553212301227308	1.0594813474560205	0.00785414709559574	-0.06238139881981322	-0.13942792361481635	4.347127205842166
51	10.225294777628521	2.8456113513185044	-1.5552268859857452	1.0601508175838243	0.006345812615711476	-0.07426592666294932	-0.14134120248159845	4.432364994192012
52	10.20637549790345	2.761727316049455	-1.5576280902458226	1.0606917206164712	0.004821535773981655	-0.0863135381651863	-0.1432740247512542	4.517602782541858
53	10.187108672190476	2.6778463398355705	-1.5604220452310122	1.0611026976622964	0.003257439658605078	-0.09852589916296196	-0.1452184119419004	4.602840570891704
54	10.167440412287124	2.593987264687956	-1.5636149427652362	1.0613803546144804	0.00162871913159565	-0.11090399542456397	-0.14716353747347735	4.68807835924155
55	10.147315800338294	2.510169781529694	-1.5672130102261517	1.0615191830311024	-9.05877778449628e-05	-0.12344788988454031	-0.14909554868094382	4.773316147591396
56	10.126678921935289	2.4264146707356096	-1.5712224731421394	1.0615114615292691	-0.0019278346185012138	-0.13615646470690806	-0.15099737776869865	4.858553935941242
57	10.10547291319342	2.342744052142311	-1.5756495042343464	1.0613471371700858	-0.003912007396858973	-0.14902714723453533	-0.15284854457712146	4.9437917242910885
58	10.083640026544325	2.2591816452922977	-1.5805001575384727	1.0610136863115716	-0.006073971267185118	-0.1620556191267791	-0.1546249553001547	5.029029512640935
59	10.061121720558388	2.175753040461641	-1.5857802860754662	1.0604959544342585	-0.008446722314928247	-0.175235508340255	-0.1562987028036295	5.114267300990781
60	10.037858779775139	2.0924859807403746	-1.5914954413837263	1.0597759745053312	-0.011065643242815285	-0.18855806408918308	-0.15783787597963025	5.199505089340627
61	10.013791471264275	2.009410655076918	-1.5976507530883166	1.0588327635486479	-0.013968761208323407	-0.20201181555552075	-0.1592063876600356	5.284742877690473
62	9.988859745462687	1.9265600017506954	-1.6042507865790283	1.0576420972372662	-0.017197005410029075	-0.21558221593082696	-0.16036383302116683	5.369980666040319
63	9.96300348972333	1.8439700211887167	-1.6112993768169894	1.056176262529878	-0.020794461280247818	-0.22925127438885168	-0.1612653931456259	5.455218454390165
64	9.936162843952948	1.76168009638119	-1.618799436311815	1.0544037886404265	-0.02480861732143977	-0.2429971798379496	-0.1618618014498872	5.540456242740011
65	9.908278588680577	1.6797333183696168	-1.6267527354364144	1.0522891569679327	-0.029290599743797066	-0.2567939218118561	-0.16209939398957107	5.625694031089857
66	9.879292616848636	1.5981768133736103	-1.6351596535087203	1.0497924910263343	-0.03429538915556037	-0.27061091564837364	-0.16192026813005012	5.710931819439703
67	9.849148501499133	1.5170620670920079	-1.6440188995088834	1.0468692279041207	-0.03988201267936363	-0.28441264119278925	-0.16126257757633455	5.796169607789549
68	9.817792172266916	1.436445240571569	-1.6533272019621401	1.0434697733483953	-0.04611370409474707	-0.2981583066489875	-0.16006099508515945	5.881407396139395
69	9.785172714096372	1.3563874708083616	-1.6630789684506053	1.039539143198744	-0.053058024045412794	-0.311801551871118	-0.1582473770474683	5.966645184489241
70	9.751243301750542	1.2769551479768526	-1.673265916471372	1.0350165945749044	-0.060786932139572404	-0.3252902083028044	-0.1557516661565299	6.0518829728390875
71	9.715962283339637	1.1982201599373425	-1.6838766789795259	1.0298352509187594	-0.06937680308833716	-0.33856613585778655	-0.15250306909893774	6.137120761188934
72	9.679294425092744	1.1202600935499691	-1.6948963899785738	1.0239217256607311	-0.07890838008100202	-0.35156516018433986	-0.1484315450693142	6.22235854953878
73	9.641212327743892	1.0431583814527474	-1.7063062579635546	1.0171957498603623	-0.08946666062693304	-0.3642171368073949	-0.14346963729490428	6.307596337888626
74	9.601698022000749	0.9670043825080775	-1.71808313786914	1.0095698095774812	-0.10114071335725064	-0.3764461713857635	-0.1375546730178148	6.392834126238472
75	9.56074474641028	0.8918933842893308	-1.730199115367475	1.0009487988587886	-0.11402342902492266	-0.3881710274909848	-0.13063134691529832	6.478071914588318
76	9.518358905351393	0.8179265170006179	-1.7426211207804476	0.9912296939486438	-0.12821121537855198	-0.3993057545912031	-0.12265468827329241	6.563309702938164
77	9.474562197740282	0.7452105703526639	-1.7553105933274356	0.9803012535081358	-0.14380365383714688	-0.40976056895035545	-0.11359339315863715	6.64854749128801
78	9.429393898287158	0.673857708409101	-1.7682232196470093	0.9680437480984363	-0.1609031459440563	-0.41944301855434973	-0.10343347956677157	6.733785279637856
79	9.382913262880688	0.6039850824918841	-1.7813087731454649	0.9543287197996384	-0.17961458921042242	-0.4282594595939483	-0.09218219683342806	6.819023067987702
80	9.335202018164233	0.535714349039598	-1.7945110822900858	0.9390187694599821	-0.20004513469581536	-0.43611686617725826	-0.07987209198964225	6.904260856337548
81	9.286366883093093	0.46917110787104266	-1.8077681559737024	0.9219673646083701	-0.22230409174074675	-0.44292498664932967	-0.06656510752233422	6.989498644687394
82	9.236542057968007	0.4044842864613679	-1.8210124920022897	0.9030186554872744	-0.2465030575799714	-0.4485988491958025	-0.05235656030195989	7.07473643303724
83	9.185891605136238	0.34178550720024015	-1.8341715901115678	0.8820072800376901	-0.2727563597804243	-0.45306160660154693	-0.03737883403866771	7.1599742213870865
84	9.134611636488087	0.28120848651511915	-1.8471686833311511	0.8587581311716592	-0.30118190606184564	-0.4562476957460994	-0.02180461163320004	7.245212009736933
85	9.082932217471663	0.22288852628017308	-1.8599236908167267	0.8330860516079643	-0.3319025375956563	-0.45810627261754183	-0.005849483074604098	7.330449798086779
86	9.031118897058805	0.1669621679350382	-1.8723543815736343	0.8047954133556171	-0.36504797713052856	-0.45860486961781266	0.010226207979402609	7.415687586436625
87	8.979473779231	0.11356708691892412	-1.884377722243523	0.7736795311434345	-0.4007574515958592	-0.4577332102664451	0.026116368997755744	7.500925374786471
88	8.928336065052154	0.06284230812501064	-1.8959113640999377	0.7395198523046921	-0.43918305031877986	-0.4555071087333506	0.04146904013936668	7.586163163136317
89	8.878082015567541	0.014928821079259974	-1.9068752056490734	0.7020848604147898	-0.4804938557536009	-0.4519723794668832	0.0558871000566864	7.671400951486163
90	8.82912431407215	-0.03002933409151935	-1.9171929489319952	0.6611286268346732	-0.5248808557395026	-0.44720868666076824	0.06892966009912314	7.756638739836009
91	8.781910840150857	-0.07188345194448763	-1.9267935508480931	0.6163889435442742	-0.5725626176311162	-0.4413332748822161	0.08011393296787331	7.841876528185855
92	8.736922904611214	-0.11047797782137905	-1.9356124562647024	0.5675849723256106	-0.6237916784181853	-0.4345045404200306	0.0889173010562879	7.927114316535701
93	8.69467303020503	-0.14564773424459265	-1.9435924873805965	0.5144143492662179	-0.6788615841877857	-0.42692542633195907	0.0947792778188714	8.012352104885547
94	8.655702393053216	-0.17721455645062656	-1.950684252899029	0.45654968923439077	-0.7381144991593197	-0.4188466503092866	0.09710306128315091	8.097589893235394
95	8.620578058232551	-0.2049833509560958	-1.9568459291010085	0.3936344417771091	-0.8019492998157838	-0.4105698001235146	0.09525642543079396	8.182827681585241
96	8.5898901434494	-0.2287375974143346	-1.962042249846694	0.3252780570921178	-0.8708300724525907	-0.4024503530936846	0.08857177775163824	8.268065469935088
97	8.564249019403217	-0.24823430682094508	-1.96624251978125	0.2510504276877372	-0.9452949399374538	-0.39490069064792305	0.07634531490898643	8.353303258284935
98	8.544282594895746	-0.2631984230014263	-1.9694174295376905	0.1704755776691832	-1.0	-0.38839318485420987	0.057835307075473734	8.438541046634782
99	8.530633626619984	-0.2733166031764914	-1.9715343974993471	0.0852377891067797	-1.0	-0.38346343119056264	0.032449811301254516	8.523778834984629
100	8.52377883498464	-0.2783612139916225	-1.9725781844427088	0.0	0.0	-0.3806974810428741	0.0	8.609016623334476
101	8.52377883498464	-0.2783612139916225	-1.9725781844427088	0.0	-0.5432505980151402	-0.06690969390195335	-0.009885100036142697	8.756754565680824
102	8.523778836376794	-0.27836121297078814	-1.9725781844074846	-0.08025873549508826	-0.4693245906203408	-0.06837009824118082	-0.016312052947046216	8.904492508027172
103	8.53499025966476	-0.2701401004583962	-1.9722882039679523	-0.14959578480588248	-0.4055470332468972	-0.070780007379022	-0.019985159772719613	9.05223045037352
104	8.555874803911005	-0.2548105544164371	-1.9717285899122654	-0.20951046902244738	-0.3505015453178374	-0.07373257376130647	-0.021503456097771937	9.199968392719867
105	8.585089669431861	-0.2333250054491258	-1.9709120349200053	-0.2612928461169217	-0.3029777265144521	-0.07690945011852618	-0.021370251530098763	9.347706335066215
106	8.621463110277654	-0.20649938554704314	-1.9698496138123875	-0.30605415200894276	-0.2619407677585463	-0.08006664710700671	-0.020003640002512164	9.495444277412563
107	8.663972924256486	-0.1750331343132522	-1.9685538943515768	-0.34475274205421386	-0.22650551706354807	-0.08302194372041478	-0.017747109904487895	9.643182219758911
108	8.711727874939546	-0.13952621566047752	-1.967040223985998	-0.3782162010752786	-0.19591441025215672	-0.08564386522029817	-0.014879711874300159	9.790920162105259
109	8.763951729969685	-0.10049363878603443	-1.9653269337589423	-0.4071601929219307	-0.16951873471352316	-0.08784216323531363	-0.01162547794367613	9.938658104451607
110	8.81996951915964	-0.05837784277700179	-1.9634349475983195	-0.4322045419776628	-0.14676275401109926	-0.08955968742550505	-0.008161945648834898	10.086396046797955
111	8.879195637407062	-0.013559232394056198	-1.9613871100089635	-0.4538869692683454	-0.12717027911828974	-0.0907655164812065	-0.004627743654356674	10.234133989144302
112	8.941123476149302	0.03363488953360238	-1.9592074256613443	-0.4726748446328914	-0.11033332644952155	-0.09144920980640737	-0.0011292581673541101	10.38187193149065
113	9.00531633168486	0.0829227767695708	-1.9569203241557172	-0.4889752632547705	-0.09590255266854841	-0.09161604408442993	0.00225356483098723	10.529609873836998
114	9.071399395995885	0.13406188898290763	-1.954550010459271	-0.5031437090517827	-0.08357920110337817	-0.09128310705335564	0.005462208097781322	10.677347816183346
115	9.139052681617406	0.18684356532132512	-1.9521199276584855	-0.5154915282457456	-0.07310833447482598	-0.0904761316683217	0.008455281224317771	10.825085758529694
116	9.208004766744917	0.24108857297827083	-1.9496523377135242	-0.526292403149423	-0.06427316378129005	-0.08922696581828113	0.011204845741324434	10.972823700876042
117	9.278027271958168	0.2966434017725196	-1.9471680136140257	-0.5357879881145585	-0.056890313933111454	-0.08757158496414942	0.013693286769147136	11.12056164322239
118	9.348929997877406	0.35337719492853853	-1.9446860297650366	-0.5441928460344715	-0.050805893518332076	-0.08554856695291695	0.015910654661939937	11.268299585568737
119	9.42055666580545	0.4111792239997046	-1.9422236345343034	-0.5516988042019347	-0.04589225935621317	-0.08319795957177835	0.017852404770191344	11.416037527915085
120	9.492781212617642	0.4699568320127409	-1.93979618826274	-0.5584788321688434	-0.042045386707462974	-0.08056048202509586	0.019517468252428085	11.563775470261433
121	9.565504598108467	0.529633783357347	-1.9374171507213747	-0.5646905310861572	-0.039182773601197984	-0.07767701142567161	0.020906591413977608	11.711513412607781
122	9.638652088593409	0.5901489717434585	-1.9350981033450412	-0.5704793134334174	-0.037241823130916216	-0.07458831462869432	0.022020885079987326	11.859251354954129
123	9.71217098541274	0.6514554488331862	-1.9328487931551386	-0.5759813437520017	-0.03617866116605114	-0.07133499437833112	0.022860528831343367	12.006989297300477
